timestamp,event_type,process_name,file_path,run_count,parser
2023-12-26T00:34:52.643145+00:00,AppExecution,SVCHOST.EXE,\Windows\Prefetch\SVCHOST.EXE-9EE9EA94.pf,,prefetch
2023-12-26T00:35:01.835543+00:00,AppExecution,IDENTITY_HELPER.EXE,\Windows\Prefetch\IDENTITY_HELPER.EXE-4DBD1CFA.pf,,prefetch
2023-12-26T00:35:01.835543+00:00,AppExecution,IDENTITY_HELPER.EXE,\Windows\Prefetch\IDENTITY_HELPER.EXE-4DBD1CFA.pf,,prefetch
2023-12-26T00:35:03.705010+00:00,AppExecution,MSEDGE.EXE,\Windows\Prefetch\MSEDGE.EXE-F6B373AF.pf,,prefetch
2023-12-26T00:35:03.705010+00:00,AppExecution,MSEDGE.EXE,\Windows\Prefetch\MSEDGE.EXE-F6B373AF.pf,,prefetch
2023-12-26T00:35:10.247993+00:00,AppExecution,MSEDGE.EXE,\Windows\Prefetch\MSEDGE.EXE-F6B373AF.pf,,prefetch
2023-12-26T00:35:11.594211+00:00,AppExecution,MSEDGE.EXE,\Windows\Prefetch\MSEDGE.EXE-F6B373AF.pf,,prefetch
2023-12-26T00:35:12.691439+00:00,AppExecution,COOKIE_EXPORTER.EXE,\Windows\Prefetch\COOKIE_EXPORTER.EXE-60B1FA40.pf,,prefetch
2023-12-26T00:35:32.962524+00:00,AppExecution,RUNTIMEBROKER.EXE,\Windows\Prefetch\RUNTIMEBROKER.EXE-A171222F.pf,,prefetch
2023-12-26T00:35:33.260581+00:00,AppExecution,MSEDGE.EXE,\Windows\Prefetch\MSEDGE.EXE-F6B373AF.pf,,prefetch
2023-12-26T00:35:34.992516+00:00,AppExecution,MSEDGE.EXE,\Windows\Prefetch\MSEDGE.EXE-F6B373AF.pf,,prefetch
2023-12-26T00:35:35.999857+00:00,AppExecution,SEARCHINDEXER.EXE,\Windows\Prefetch\SEARCHINDEXER.EXE-EF8503D3.pf,,prefetch
2023-12-26T00:35:39.373857+00:00,AppExecution,SVCHOST.EXE,\Windows\Prefetch\SVCHOST.EXE-9EE9EA94.pf,,prefetch
2023-12-26T00:35:49.545890+00:00,AppExecution,VERCLSID.EXE,\Windows\Prefetch\VERCLSID.EXE-D9CCBE06.pf,,prefetch
2023-12-26T00:35:50.532156+00:00,AppInstall,runtimebroker.exe Name: [REG_SZ] RuntimeBroker.exe OriginalFileName: [REG_SZ] runtimebroker.exe,\Windows\appcompat\Programs\Amcache.hve,,winreg/amcache
2023-12-26T00:35:58.625231+00:00,AppExecution,CMD.EXE,\Windows\Prefetch\CMD.EXE-CD245F9E.pf,,prefetch
2023-12-26T00:35:58.714592+00:00,AppExecution,CONHOST.EXE,\Windows\Prefetch\CONHOST.EXE-F98A1078.pf,,prefetch
2023-12-26T00:35:59.145179+00:00,AppExecution,CONHOST.EXE,\Windows\Prefetch\CONHOST.EXE-F98A1078.pf,,prefetch
2023-12-26T00:35:59.481029+00:00,AppExecution,CMD.EXE,\Windows\Prefetch\CMD.EXE-CD245F9E.pf,,prefetch
2023-12-26T00:35:59.555899+00:00,AppExecution,CMD.EXE,\Windows\Prefetch\CMD.EXE-CD245F9E.pf,,prefetch
2023-12-26T00:35:59.710444+00:00,AppExecution,CONHOST.EXE,\Windows\Prefetch\CONHOST.EXE-F98A1078.pf,,prefetch
2023-12-26T00:36:02.368767+00:00,AppExecution,MSEDGE.EXE,\Windows\Prefetch\MSEDGE.EXE-F6B373AF.pf,,prefetch
2023-12-26T00:36:05.903105+00:00,AppExecution,OPENCONSOLE.EXE,\Windows\Prefetch\OPENCONSOLE.EXE-4EEF40F3.pf,,prefetch
2023-12-26T00:36:09.742312+00:00,AppExecution,OPENCONSOLE.EXE,\Windows\Prefetch\OPENCONSOLE.EXE-4EEF40F3.pf,,prefetch
2023-12-26T00:36:11.277246+00:00,AppExecution,SVCHOST.EXE,\Windows\Prefetch\SVCHOST.EXE-9EE9EA94.pf,,prefetch
2023-12-26T00:36:27.744388+00:00,AppExecution,MSEDGEWEBVIEW2.EXE,\Windows\Prefetch\MSEDGEWEBVIEW2.EXE-EC74B953.pf,,prefetch
2023-12-26T00:36:28.231686+00:00,AppExecution,WINDOWSTERMINAL.EXE,\Windows\Prefetch\WINDOWSTERMINAL.EXE-908D375D.pf,,prefetch
2023-12-26T00:36:28.281877+00:00,AppExecution,RUNTIMEBROKER.EXE,\Windows\Prefetch\RUNTIMEBROKER.EXE-A171222F.pf,,prefetch
2023-12-26T00:36:28.875543+00:00,AppExecution,MSEDGEWEBVIEW2.EXE,\Windows\Prefetch\MSEDGEWEBVIEW2.EXE-EC74B953.pf,,prefetch
2023-12-26T00:36:30.405185+00:00,AppExecution,MSEDGEWEBVIEW2.EXE,\Windows\Prefetch\MSEDGEWEBVIEW2.EXE-EC74B953.pf,,prefetch
2023-12-26T00:36:33.621769+00:00,AppExecution,WMIADAP.EXE,\Windows\Prefetch\WMIADAP.EXE-7D63BB4C.pf,,prefetch
2023-12-26T00:36:35.813381+00:00,AppExecution,MSEDGEWEBVIEW2.EXE,\Windows\Prefetch\MSEDGEWEBVIEW2.EXE-EC74B953.pf,,prefetch
2023-12-26T00:36:41.127718+00:00,AppExecution,MICROSOFTEDGEUPDATE.EXE,\Windows\Prefetch\MICROSOFTEDGEUPDATE.EXE-30812F03.pf,,prefetch
2023-12-26T00:36:41.127718+00:00,AppExecution,MICROSOFTEDGEUPDATE.EXE,\Windows\Prefetch\MICROSOFTEDGEUPDATE.EXE-30812F03.pf,,prefetch
2023-12-26T00:36:43.312207+00:00,AppExecution,SVCHOST.EXE,\Windows\Prefetch\SVCHOST.EXE-9EE9EA94.pf,,prefetch
2023-12-26T00:36:43.312207+00:00,AppExecution,SVCHOST.EXE,\Windows\Prefetch\SVCHOST.EXE-9EE9EA94.pf,,prefetch
2023-12-26T00:36:43.669905+00:00,AppExecution,WINDOWSTERMINAL.EXE,\Windows\Prefetch\WINDOWSTERMINAL.EXE-908D375D.pf,,prefetch
2023-12-26T00:36:43.669905+00:00,AppExecution,WINDOWSTERMINAL.EXE,\Windows\Prefetch\WINDOWSTERMINAL.EXE-908D375D.pf,,prefetch
2023-12-26T00:36:43.836536+00:00,AppExecution,MICROSOFTEDGEUPDATE.EXE,\Windows\Prefetch\MICROSOFTEDGEUPDATE.EXE-30812F03.pf,,prefetch
2023-12-26T00:36:43.836536+00:00,AppExecution,MICROSOFTEDGEUPDATE.EXE,\Windows\Prefetch\MICROSOFTEDGEUPDATE.EXE-30812F03.pf,,prefetch
2023-12-26T00:37:04.258196+00:00,AppExecution,SVCHOST.EXE,\Windows\Prefetch\SVCHOST.EXE-9EE9EA94.pf,,prefetch
2023-12-26T00:37:04.258196+00:00,AppExecution,SVCHOST.EXE,\Windows\Prefetch\SVCHOST.EXE-9EE9EA94.pf,,prefetch
2023-12-26T00:37:04.258196+00:00,AppExecution,SVCHOST.EXE,\Windows\Prefetch\SVCHOST.EXE-9EE9EA94.pf,,prefetch
2023-12-26T00:37:06.148700+00:00,AppExecution,SPPSVC.EXE,\Windows\Prefetch\SPPSVC.EXE-7B160CA5.pf,,prefetch
2023-12-26T00:37:06.148700+00:00,AppExecution,SPPSVC.EXE,\Windows\Prefetch\SPPSVC.EXE-7B160CA5.pf,,prefetch
