event,event_type,timestamp,parser,source
http://example.org/ord2i#Event_013655,FileCreate,2023-12-26T00:37:59.507010+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013656,FileSystemOp,2023-12-26T00:37:59.507010+00:00,filestat,FILE
http://example.org/ord2i#Event_013657,FileSystemOp,2023-12-26T00:37:59.507010+00:00,filestat,FILE
http://example.org/ord2i#Event_013658,FileSystemOp,2023-12-26T00:37:59.507010+00:00,filestat,FILE
http://example.org/ord2i#Event_013659,SystemEvent,2023-12-26T00:37:59.521191+00:00,winevtx,EVT
http://example.org/ord2i#Event_013660,SystemEvent,2023-12-26T00:37:59.521191+00:00,winevtx,EVT
http://example.org/ord2i#Event_013661,FileCreate,2023-12-26T00:37:59.540941+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013662,FileModify,2023-12-26T00:37:59.541912+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013663,FileModify,2023-12-26T00:37:59.541912+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013664,FileModify,2023-12-26T00:37:59.542666+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013665,FileModify,2023-12-26T00:37:59.542666+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013666,FileModify,2023-12-26T00:37:59.542666+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013667,FileModify,2023-12-26T00:37:59.542666+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013668,FileDelete,2023-12-26T00:37:59.542666+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013669,FileCreate,2023-12-26T00:37:59.542666+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013670,FileCreate,2023-12-26T00:37:59.542666+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013671,FileDelete,2023-12-26T00:37:59.542666+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013672,FileDelete,2023-12-26T00:37:59.544956+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013673,FileDelete,2023-12-26T00:37:59.545695+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013674,RegistryModify,2023-12-26T00:37:59.576128+00:00,winreg/winreg_default,REG
http://example.org/ord2i#Event_013675,RegistryModify,2023-12-26T00:37:59.580322+00:00,winreg/windows_typed_urls,REG
http://example.org/ord2i#Event_013676,FileCreate,2023-12-26T00:37:59.585732+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013677,FileCreate,2023-12-26T00:37:59.585732+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013678,FileSystemOp,2023-12-26T00:37:59.585732+00:00,filestat,FILE
http://example.org/ord2i#Event_013679,FileSystemOp,2023-12-26T00:37:59.585732+00:00,filestat,FILE
http://example.org/ord2i#Event_013680,FileSystemOp,2023-12-26T00:37:59.585732+00:00,filestat,FILE
http://example.org/ord2i#Event_013681,FileDelete,2023-12-26T00:37:59.946971+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013682,FileModify,2023-12-26T00:37:59.963923+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013683,FileDelete,2023-12-26T00:37:59.964974+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013684,FileSystemOp,2023-12-26T00:37:59.965907+00:00,filestat,FILE
http://example.org/ord2i#Event_013685,FileSystemOp,2023-12-26T00:37:59.965907+00:00,filestat,FILE
http://example.org/ord2i#Event_013686,FileSystemOp,2023-12-26T00:37:59.966956+00:00,filestat,FILE
http://example.org/ord2i#Event_013687,FileSystemOp,2023-12-26T00:37:59.966956+00:00,filestat,FILE
http://example.org/ord2i#Event_013688,RegistryModify,2023-12-26T00:38:00.409988+00:00,winreg/winreg_default,REG
http://example.org/ord2i#Event_013689,RegistryModify,2023-12-26T00:38:00.409988+00:00,winreg/winreg_default,REG
http://example.org/ord2i#Event_013690,RegistryModify,2023-12-26T00:38:00.436837+00:00,winreg/winreg_default,REG
http://example.org/ord2i#Event_013691,SystemEvent,2023-12-26T00:38:00.545715+00:00,winevtx,EVT
http://example.org/ord2i#Event_013692,SystemEvent,2023-12-26T00:38:00.545715+00:00,winevtx,EVT
http://example.org/ord2i#Event_013693,SystemEvent,2023-12-26T00:38:00.545824+00:00,winevtx,EVT
http://example.org/ord2i#Event_013694,SystemEvent,2023-12-26T00:38:00.545824+00:00,winevtx,EVT
http://example.org/ord2i#Event_013695,FileCreate,2023-12-26T00:38:00.571269+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013696,FileDelete,2023-12-26T00:38:00.587637+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013697,FileDelete,2023-12-26T00:38:00.587637+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013698,SystemEvent,2023-12-26T00:38:00.593148+00:00,winevtx,EVT
http://example.org/ord2i#Event_013699,SystemEvent,2023-12-26T00:38:00.593148+00:00,winevtx,EVT
http://example.org/ord2i#Event_013700,SystemEvent,2023-12-26T00:38:00.593484+00:00,winevtx,EVT
http://example.org/ord2i#Event_013701,SystemEvent,2023-12-26T00:38:00.593484+00:00,winevtx,EVT
http://example.org/ord2i#Event_013702,SystemEvent,2023-12-26T00:38:00.632771+00:00,winevtx,EVT
http://example.org/ord2i#Event_013703,SystemEvent,2023-12-26T00:38:00.632771+00:00,winevtx,EVT
http://example.org/ord2i#Event_013704,SystemEvent,2023-12-26T00:38:00.632991+00:00,winevtx,EVT
http://example.org/ord2i#Event_013705,SystemEvent,2023-12-26T00:38:00.632991+00:00,winevtx,EVT
http://example.org/ord2i#Event_013706,RegistryModify,2023-12-26T00:38:00.743713+00:00,winreg/winreg_default,REG
http://example.org/ord2i#Event_013707,FileSystemOp,2023-12-26T00:38:00.870219+00:00,filestat,FILE
http://example.org/ord2i#Event_013708,FileCreate,2023-12-26T00:38:00.886913+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013709,FileCreate,2023-12-26T00:38:00.886913+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013710,FileModify,2023-12-26T00:38:00.886913+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013711,FileDelete,2023-12-26T00:38:00.886913+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013712,FileCreate,2023-12-26T00:38:00.886913+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013713,FileCreate,2023-12-26T00:38:00.886913+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013714,FileCreate,2023-12-26T00:38:00.886913+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013715,FileSystemOp,2023-12-26T00:38:00.886913+00:00,filestat,FILE
http://example.org/ord2i#Event_013716,FileSystemOp,2023-12-26T00:38:00.886913+00:00,filestat,FILE
http://example.org/ord2i#Event_013717,FileSystemOp,2023-12-26T00:38:00.886913+00:00,filestat,FILE
http://example.org/ord2i#Event_013718,FileSystemOp,2023-12-26T00:38:00.886913+00:00,filestat,FILE
http://example.org/ord2i#Event_013719,FileSystemOp,2023-12-26T00:38:00.886913+00:00,filestat,FILE
http://example.org/ord2i#Event_013720,FileCreate,2023-12-26T00:38:00.897735+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013721,FileModify,2023-12-26T00:38:00.898330+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013722,FileDelete,2023-12-26T00:38:00.899426+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013723,FileSystemOp,2023-12-26T00:38:00.899426+00:00,filestat,FILE
http://example.org/ord2i#Event_013724,FileSystemOp,2023-12-26T00:38:00.903337+00:00,filestat,FILE
http://example.org/ord2i#Event_013725,FileSystemOp,2023-12-26T00:38:00.903337+00:00,filestat,FILE
http://example.org/ord2i#Event_013726,FileCreate,2023-12-26T00:38:00.908236+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013727,FileCreate,2023-12-26T00:38:00.908236+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013728,FileModify,2023-12-26T00:38:00.913611+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013729,FileDelete,2023-12-26T00:38:00.913611+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013730,FileSystemOp,2023-12-26T00:38:00.913611+00:00,filestat,FILE
